<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;;;
SPFB.RTS-12.18;1;14.09.2018;14:26;108140,00;108140,00;108100,00;108120,00;14;;;
SPFB.RTS-12.18;1;14.09.2018;14:27;108140,00;108140,00;108140,00;108140,00;1;;;
SPFB.RTS-12.18;1;14.09.2018;14:28;108100,00;108100,00;108070,00;108070,00;2;;;
SPFB.RTS-12.18;1;14.09.2018;14:29;108080,00;108080,00;108080,00;108080,00;1;;;
SPFB.RTS-12.18;1;14.09.2018;14:31;108140,00;108140,00;108140,00;108140,00;2;;;
SPFB.RTS-12.18;1;14.09.2018;14:33;108140,00;108200,00;108140,00;108180,00;7;;;
SPFB.RTS-12.18;1;14.09.2018;14:34;108210,00;108210,00;108200,00;108200,00;12;;;
SPFB.RTS-12.18;1;14.09.2018;14:35;108170,00;108170,00;108140,00;108140,00;15;;;
SPFB.RTS-12.18;1;14.09.2018;14:36;108130,00;108130,00;108130,00;108130,00;4;;;
SPFB.RTS-12.18;1;14.09.2018;14:37;108140,00;108140,00;108100,00;108100,00;7;;;
SPFB.RTS-12.18;1;14.09.2018;14:38;108120,00;108120,00;108080,00;108110,00;55;;;
SPFB.RTS-12.18;1;14.09.2018;14:39;108080,00;108120,00;108050,00;108120,00;15;;;
SPFB.RTS-12.18;1;14.09.2018;14:40;108110,00;108150,00;108110,00;108150,00;7;;;
SPFB.RTS-12.18;1;14.09.2018;14:41;108180,00;108210,00;108170,00;108210,00;28;;;
SPFB.RTS-12.18;1;14.09.2018;14:42;108200,00;108200,00;108200,00;108200,00;2;;;
SPFB.RTS-12.18;1;14.09.2018;14:43;108180,00;108180,00;108150,00;108150,00;11;;;
SPFB.RTS-12.18;1;14.09.2018;14:44;108150,00;108150,00;108110,00;108110,00;12;;;
SPFB.RTS-12.18;1;14.09.2018;14:45;108190,00;108220,00;108190,00;108220,00;14;;;
SPFB.RTS-12.18;1;14.09.2018;14:46;108230,00;108250,00;108190,00;108210,00;69;;;
SPFB.RTS-12.18;1;14.09.2018;14:47;108180,00;108190,00;108170,00;108190,00;11;;;
SPFB.RTS-12.18;1;14.09.2018;14:48;108150,00;108180,00;108150,00;108180,00;5;;;
SPFB.RTS-12.18;1;14.09.2018;14:49;108180,00;108180,00;108180,00;108180,00;4;;;
